"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"NO000050540","BERGEN FLORIDA, NO","2022-01-01","9.1","0.0","5.2","9.9","-0.2"
"NO000050540","BERGEN FLORIDA, NO","2022-01-02","5.5","0.0","8.1","9.8","7.6"
"NO000050540","BERGEN FLORIDA, NO","2022-01-03","15.9","0.0","4.8","7.8","1.1"
"NO000050540","BERGEN FLORIDA, NO","2022-01-04","18.3","0.0","3.2","4.7","1.2"
"NO000050540","BERGEN FLORIDA, NO","2022-01-05","0.0","0.0","2.1","3.3","0.9"
"NO000050540","BERGEN FLORIDA, NO","2022-01-06","0.2","0.0","0.0","2.6","-2.7"
"NO000050540","BERGEN FLORIDA, NO","2022-01-07","0.3","0.0","4.5","5.6","2.3"
"NO000050540","BERGEN FLORIDA, NO","2022-01-08","0.9","0.0","3.0","5.5","1.8"
"NO000050540","BERGEN FLORIDA, NO","2022-01-09","0.0","0.0","2.6","4.5","0.4"
"NO000050540","BERGEN FLORIDA, NO","2022-01-10","6.2","0.0","3.6","6.3","0.2"
"NO000050540","BERGEN FLORIDA, NO","2022-01-11","12.9","0.0","5.7","6.4","4.9"
"NO000050540","BERGEN FLORIDA, NO","2022-01-12","31.8","0.0","7.7","9.1","5.6"
"NO000050540","BERGEN FLORIDA, NO","2022-01-13","6.5","0.0","8.4","9.3","8.1"
"NO000050540","BERGEN FLORIDA, NO","2022-01-14","0.1","0.0","3.9","9.7","2.4"
"NO000050540","BERGEN FLORIDA, NO","2022-01-15","12.7","0.0","3.0","4.4","0.6"
"NO000050540","BERGEN FLORIDA, NO","2022-01-16","16.9","0.0","4.6","6.4","2.8"
"NO000050540","BERGEN FLORIDA, NO","2022-01-17","2.8","0.0","2.7","5.0","0.7"
"NO000050540","BERGEN FLORIDA, NO","2022-01-18","17.2","0.0","5.7","6.5","2.5"
"NO000050540","BERGEN FLORIDA, NO","2022-01-19","19.7","0.0","3.2","7.3","-1.6"
"NO000050540","BERGEN FLORIDA, NO","2022-01-20","3.7","40.0","0.1","1.7","-2.7"
"NO000050540","BERGEN FLORIDA, NO","2022-01-21","7.1","0.0","3.1","4.4","-0.1"
"NO000050540","BERGEN FLORIDA, NO","2022-01-22","11.5","0.0","6.1","6.7","4.3"
"NO000050540","BERGEN FLORIDA, NO","2022-01-23","13.7","0.0","7.1","7.7","6.6"
"NO000050540","BERGEN FLORIDA, NO","2022-01-24","12.6","0.0","5.9","7.6","4.6"
"NO000050540","BERGEN FLORIDA, NO","2022-01-25","24.6","0.0","4.4","6.0","3.6"
"NO000050540","BERGEN FLORIDA, NO","2022-01-26","29.1","0.0","5.1","7.2","3.4"
"NO000050540","BERGEN FLORIDA, NO","2022-01-27","3.0","0.0","4.9","8.2","3.6"
"NO000050540","BERGEN FLORIDA, NO","2022-01-28","58.2","0.0","2.8","4.1","1.8"
