Country Code,Year,data_quality_life_expectancy,Income,Population,Country,Region
afg,1914,4,1162,7365181,Afghanistan,asia
afg,1915,4,1170,7923871,Afghanistan,asia
afg,1916,4,1177,8524936,Afghanistan,asia
afg,1917,3,1184,9171589,Afghanistan,asia
afg,1918,3,1191,9875230,Afghanistan,asia
afg,1919,3,1198,10338650,Afghanistan,asia
afg,1920,4,1204,10558857,Afghanistan,asia
afg,1921,4,1213,10531818,Afghanistan,asia
afg,1922,4,1220,10252425,Afghanistan,asia
afg,1923,4,1229,9714452,Afghanistan,asia
afg,1924,4,1237,9204707,Afghanistan,asia
afg,1925,4,1244,8721710,Afghanistan,asia
afg,1926,4,1251,8264058,Afghanistan,asia
afg,1927,4,1259,7830419,Afghanistan,asia
afg,1928,4,1266,7419535,Afghanistan,asia
afg,1929,4,1272,7099916,Afghanistan,asia
afg,1930,4,1279,6866773,Afghanistan,asia
afg,1931,4,1285,6715569,Afghanistan,asia
afg,1932,4,1291,6642004,Afghanistan,asia
afg,1933,4,1296,6642004,Afghanistan,asia
afg,1934,4,1302,6642004,Afghanistan,asia
afg,1935,4,1307,6642004,Afghanistan,asia
afg,1936,4,1311,6642004,Afghanistan,asia
afg,1937,4,1315,6642004,Afghanistan,asia
afg,1938,4,1319,6642004,Afghanistan,asia
afg,1939,4,1323,6662371,Afghanistan,asia
afg,1940,4,1327,6703416,Afghanistan,asia
afg,1941,4,1330,6765457,Afghanistan,asia
afg,1942,4,1333,6848816,Afghanistan,asia
afg,1943,4,1336,6953820,Afghanistan,asia
afg,1944,4,1338,7060433,Afghanistan,asia
afg,1945,4,1339,7168681,Afghanistan,asia
afg,1946,4,1341,7278589,Afghanistan,asia
afg,1947,4,1342,7390182,Afghanistan,asia
afg,1948,4,1343,7503485,Afghanistan,asia
afg,1949,4,1343,7624058,Afghanistan,asia
afg,1950,2,1344,7752117,Afghanistan,asia
afg,1951,2,1360,7840151,Afghanistan,asia
afg,1952,2,1382,7935996,Afghanistan,asia
afg,1953,2,1441,8039684,Afghanistan,asia
afg,1954,2,1447,8151316,Afghanistan,asia
afg,1955,2,1448,8270992,Afghanistan,asia
afg,1956,2,1486,8398873,Afghanistan,asia
afg,1957,2,1457,8535157,Afghanistan,asia
afg,1958,2,1509,8680097,Afghanistan,asia
afg,1959,2,1519,8833947,Afghanistan,asia
afg,1960,2,1541,8996967,Afghanistan,asia
afg,1961,2,1522,9169406,Afghanistan,asia
afg,1962,2,1514,9351442,Afghanistan,asia
afg,1963,2,1509,9543200,Afghanistan,asia
afg,1964,2,1501,9744772,Afghanistan,asia
afg,1965,2,1500,9956318,Afghanistan,asia
afg,1966,2,1479,10174840,Afghanistan,asia
afg,1967,2,1484,10399936,Afghanistan,asia
afg,1968,2,1500,10637064,Afghanistan,asia
afg,1969,2,1486,10893772,Afghanistan,asia
afg,1970,2,1479,11173654,Afghanistan,asia
afg,1971,2,1438,11475450,Afghanistan,asia
afg,1972,2,1171,11791222,Afghanistan,asia
afg,1973,2,1175,12108963,Afghanistan,asia
afg,1974,2,1208,12412960,Afghanistan,asia
afg,1975,2,1248,12689164,Afghanistan,asia
afg,1976,2,1285,12943093,Afghanistan,asia
afg,1977,2,1188,13171294,Afghanistan,asia
afg,1978,2,1244,13341199,Afghanistan,asia
afg,1979,2,1189,13411060,Afghanistan,asia
afg,1980,2,1185,13356500,Afghanistan,asia
